SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
104,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
104,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
104,VERA,,SVB_RIG_VELHASCHA,SVB_RIG_VELHASCHA.tpl.zip,,SVB_PER_VELHASCHA.zip SVB_PER_VELHASCHA.png,JACKSON,CONCLUÍDO,15/08/2025,BRUNO,,CONCLUÍDO,04/08/2025,,,,
104,VITIN,,SVB_PER_CRIANCAS_ESCOLA,https://drive.google.com/file/d/1cSfPMbyaV-I6k2jsudljlXKUMUO38LZb/view?usp=drive_link,,SVB_PER_CRIANCAS_ESCOLA.zip SVB_PER_CRIANCAS_ESCOLA_VITIN.png,TONTON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,,,,,
104,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
104,XIMONE,,SVB_RIG_XIMONE_RIO,SVB_RIG_XIMONE.tpl.zip,,SVB_PER_XIMONE.png SVB_PER_XIMONE.zip,JACKSON,CONCLUÍDO,23/07/2025,BRUNO,,CONCLUÍDO,27/06/2025,,,,
104,ZE CUMBUCA,,SVB_RIG_ZE_CUMBUCA,SVB_RIG_ZE_CUMBUCA.tpl.zip,,https://drive.google.com/file/d/12Oo7MvfKHMMome6BNchRNY0Tgkp6ynVo/view?usp=drive_link,JACKSON,CONCLUÍDO,02/07/2025,BRUNO,,CONCLUÍDO,06/05/2025,,Concept concluído em 06/05/25,,
104,,,SVB_RIG_XICO_RIOarrumadinho,,,,,,,,,,,,"de o short lá
em cima e o cabelo penteado pro lado com cuspe.",,
105,CACHORRO,,SVB_104_CACHORRO,,,,,NÃO INICIADO,,BRUNO,,EM PRODUÇÃO,,,,,
105,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
105,CARIBÉ REDE,,SVB_104_CARIBE_REDE,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,DARIA,,SVB_RIG_DARIA,SVB_RIG_DARIA.tpl.zip,,SVB_PER_DARIA.png SVB_PER_DARIA.zip,JACKSON,CONCLUÍDO,23/05/2025,BRUNO,,CONCLUÍDO,27/04/2025,,,,
105,DESCOMIDA BICO,,SVB_RIG_DESCOMIDA_BICO,SVB_RIG_descomida_bico.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDA BOLO,,SVB_104_DESCOMIDA_BOLO,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,DESCOMIDA GENERICO,,SVB_RIG_DESCOMIDA_GENERICO,https://drive.google.com/file/d/1_UrCXBJHxzitnz_F8M6AZkw2WGQuJrk4/view?usp=drive_link,,,TONTON,CONCLUÍDO,27/08/2025,BRUNO,,CONCLUÍDO,16/05/2025,,,,
105,DESCOMIDA GOLEM,,SVB_RIG_DESCOMIDA GOLEM,DESCOMIDA GOLEM,,,,CONCLUÍDO,,BRUNO,,CONCLUÍDO,12/03/2025,,,,07/07/2025
105,DESCOMIDA JUTA,,SVB_RIG_DESCOMIDA_JUTA,SVB_RIG_descomida_juta.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDA LARGO,,SVB_RIG_DESCOMIDAS_LARGO,SVB_rig_descomida_largo.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
